#ABBREVIATION,LONG NAME,COUNTS AS FOR FL STATIONS,DX Entity Number,Counts As Mult for FL,Counts As Mult for Other,Type
"T31","CENTRAL KIRIBATI","T31",31,true,false,DX
"T32","EASTERN KIRIBATI","T32",48,true,false,DX
"T33","BANABA ISLAND","T33",490,true,false,DX
"T5","SOMALIA","T5",232,true,false,DX
"T7","SAN MARINO","T7",278,true,false,DX
"T8","PALAU","T8",22,true,false,DX
"TA","ASIATIC TURKEY","TA",390,true,false,DX
"*TA1","EUROPEAN TURKEY","*TA1",390,true,false,DX
"TF","ICELAND","TF",242,true,false,DX
"TG","GUATEMALA","TG",76,true,false,DX
"TI","COSTA RICA","TI",308,true,false,DX
"TI9","COCOS ISLAND","TI9",37,true,false,DX
"TJ","CAMEROON","TJ",406,true,false,DX
"TK","CORSICA","TK",214,true,false,DX
"TL","CENTRAL AFRICAN REPUBLIC","TL",408,true,false,DX
"TN1","REPUBLIC OF THE CONGO","TN1",412,true,false,DX
"TR","GABON","TR",420,true,false,DX
"TT","CHAD","TT",410,true,false,DX
"TU","COTE D'IVOIRE","TU",428,true,false,DX
"TY","BENIN","TY",416,true,false,DX
"TZ","MALI","TZ",442,true,false,DX
"UA","EUROPEAN RUSSIA","UA",54,true,false,DX
"UA2","KALININGRAD","UA2",126,true,false,DX
"UA9","ASIATIC RUSSIA","UA9",15,true,false,DX
"UK","UZBEKISTAN","UK",292,true,false,DX
"UN","KAZAKHSTAN","UN",130,true,false,DX
"UR","UKRAINE","UR",288,true,false,DX
"V2","ANTIGUA & BARBUDA","V2",94,true,false,DX
"V3","BELIZE","V3",66,true,false,DX
"V4","ST. KITTS & NEVIS","V4",249,true,false,DX
"V5","NAMIBIA","V5",464,true,false,DX
"V6","MICRONESIA","V6",173,true,false,DX
"V7","MARSHALL ISLANDS","V7",168,true,false,DX
"V8","BRUNEI DARUSSALAM","V8",345,true,false,DX
"VK","AUSTRALIA","VK",150,true,false,DX
"VK0H","HEARD ISLAND","VK0H",111,true,false,DX
"VK0M","MACQUARIE ISLAND","VK0M",153,true,false,DX
"VK9C","COCOS (KEELING) ISLANDS","VK9C",38,true,false,DX
"VK9L","LORD HOWE ISLAND","VK9L",147,true,false,DX
"VK9M","MELLISH REEF","VK9M",171,true,false,DX
"VK9N","NORFOLK ISLAND","VK9N",189,true,false,DX
"VK9W","WILLIS ISLAND","VK9W",303,true,false,DX
"VK9X","CHRISTMAS ISLAND","VK9X",35,true,false,DX
"VP2E","ANGUILLA","VP2E",12,true,false,DX
"VP2M","MONTSERRAT","VP2M",96,true,false,DX
"VP2V","BRITISH VIRGIN ISLANDS","VP2V",65,true,false,DX
"VP5","TURKS & CAICOS ISLANDS","VP5",89,true,false,DX
"VP6","PITCAIRN ISLAND","VP6",172,true,false,DX
"VP6/D","DUCIE ISLAND","VP6/D",513,true,false,DX
"VP8","FALKLAND ISLANDS","VP8",141,true,false,DX
"VP8/G","SOUTH GEORGIA ISLAND","VP8/G",235,true,false,DX
"VP8/H","SOUTH SHETLAND ISLANDS","VP8/H",241,true,false,DX
"VP8/O","SOUTH ORKNEY ISLANDS","VP8/O",238,true,false,DX
